issue_id,pipeline_run_id,source_table,source_record_id,field_name,rule_code,severity,raw_value,message,created_at
d7a65c4d-7aff-59e9-9514-19d4a007153b,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,08256776-704b-50e0-92ce-c74e516f9c80,stock_ticker,PUBLIC_COMPANY_WITHOUT_TICKER,WARNING,,public company has no ticker in source metadata,2026-08-30T10:44:17.634980+00:00
904cfa8a-e572-5240-aa63-35e0d389d9f9,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,5ed089c3-b138-5004-b73c-fbfc8d07c0ca,stock_ticker,PRIVATE_COMPANY_WITH_TICKER,WARNING,OPEN,private company has a ticker in source metadata,2026-08-30T10:44:17.634980+00:00
a8ffd27c-5c82-5741-8d3d-dbfb0c57c522,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,6e09eb1e-79ed-5163-8702-a611f7c20c68,stock_ticker,PUBLIC_COMPANY_WITHOUT_TICKER,WARNING,,public company has no ticker in source metadata,2026-08-30T10:44:17.634980+00:00
21a742e1-a8d5-56b7-9f9d-dae61cc36acc,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,771af71e-0eea-5ae0-9aff-9a0609ace44a,stock_ticker,PRIVATE_COMPANY_WITH_TICKER,WARNING,UBER,private company has a ticker in source metadata,2026-08-30T10:44:17.634980+00:00
58d13f8d-aaa8-5ee6-8584-670724f0a7d7,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,9b997e26-b47f-511c-b401-d9b3a6ac9c4f,stock_ticker,PRIVATE_COMPANY_WITH_TICKER,WARNING,MONG,private company has a ticker in source metadata,2026-08-30T10:44:17.634980+00:00
add82e15-7464-5ac4-837a-fe78d85813d8,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,9d4d58c5-91bd-5317-85a0-a0cd048740af,stock_ticker,PUBLIC_COMPANY_WITHOUT_TICKER,WARNING,,public company has no ticker in source metadata,2026-08-30T10:44:17.634980+00:00
54e9476c-9411-55d0-aaf0-6c0bb4aafd4e,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,bd719dfe-542a-55b1-b391-b5ab6875b1e2,stock_ticker,PUBLIC_COMPANY_WITHOUT_TICKER,WARNING,,public company has no ticker in source metadata,2026-08-30T10:44:17.634980+00:00
12cdf68e-4c42-5b40-abbb-05cb56a29137,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,dd92adee-a175-5086-8ee3-31cafbbd4d9a,stock_ticker,PRIVATE_COMPANY_WITH_TICKER,WARNING,CLOU,private company has a ticker in source metadata,2026-08-30T10:44:17.634980+00:00
c638af19-0ede-5a41-8ccc-5fddde602b0b,57ec45a1-9a06-4385-9e42-2d255db54746,dim_company,fa848049-e1a2-57f0-935a-4d48dcaddc61,stock_ticker,PUBLIC_COMPANY_WITHOUT_TICKER,WARNING,,public company has no ticker in source metadata,2026-08-30T10:44:17.634980+00:00
1119a436-9374-5147-9c60-286e4d9a8228,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0001,revenue_raw,ARR_MISSING,INFO,,missing revenue,2026-08-30T10:44:17.634980+00:00
33b2345b-9a3d-50c9-a4c0-23b29f3adbd3,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0003,revenue_raw,ARR_MISSING,INFO,,missing revenue,2026-08-30T10:44:17.634980+00:00
5ba02870-41ab-5400-a0b3-3a5440a16562,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0005,revenue_raw,ARR_UNDISCLOSED,INFO,Not disclosed,revenue not disclosed,2026-08-30T10:44:17.634980+00:00
17683a66-74ba-540d-a6e3-0d326d3feff1,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0008,revenue_raw,ARR_MISSING,INFO,,missing revenue,2026-08-30T10:44:17.634980+00:00
f3ffcd78-fa7b-5866-b1fb-2a92c821cc40,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0012,revenue_raw,ARR_MISSING,INFO,N/A,missing revenue,2026-08-30T10:44:17.634980+00:00
84aa6e20-4999-57b2-8f46-85059ee4b2f3,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0018,revenue_raw,ARR_MISSING,INFO,,missing revenue,2026-08-30T10:44:17.634980+00:00
843fecac-334f-5ec1-a492-54dd2dbaa97c,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0025,revenue_raw,ARR_UNDISCLOSED,INFO,Not disclosed,revenue not disclosed,2026-08-30T10:44:17.634980+00:00
d96ac785-9618-511b-a28a-b44c708985bd,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0026,revenue_raw,ARR_UNDISCLOSED,INFO,Not disclosed,revenue not disclosed,2026-08-30T10:44:17.634980+00:00
81339372-e7cd-5660-9ba1-f81cebbed068,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0027,revenue_raw,ARR_MISSING,INFO,,missing revenue,2026-08-30T10:44:17.634980+00:00
b0527044-1510-5a36-8c0a-b0527046998c,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0030,revenue_raw,ARR_UNDISCLOSED,INFO,Not disclosed,revenue not disclosed,2026-08-30T10:44:17.634980+00:00
6b98817d-40f3-551f-8dfa-aa52456ec0d5,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0032,revenue_raw,ARR_UNDISCLOSED,INFO,Not disclosed,revenue not disclosed,2026-08-30T10:44:17.634980+00:00
06684a3b-123f-51f4-8b0f-69ad240a06f0,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0035,revenue_raw,ARR_MISSING,INFO,N/A,missing revenue,2026-08-30T10:44:17.634980+00:00
2a1f6321-8ca5-57b3-b248-726cad3200c7,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0035,published_date_raw,DATE_AMBIGUOUS_POLICY_APPLIED,INFO,04/04/2020,ambiguous numeric date interpreted as MM/DD/YYYY,2026-08-30T10:44:17.634980+00:00
0b3e9609-f675-53f1-9761-840b13d0a719,57ec45a1-9a06-4385-9e42-2d255db54746,fact_article,ART0037,revenue_raw,ARR_UNDISCLOSED,INFO,Not disclosed,revenue not disclosed,2026-08-30T10:44:17.634980+00:00
