company_id,company_name,company_name_raw,company_match_status,company_match_method,company_match_confidence,has_company_metadata,industry_raw,industry_standardized,founded_year,headquarters,employee_count,company_size_category,is_public,stock_ticker,source_file,pipeline_run_id,record_hash
c9a9b7c2-97d1-5591-869e-b4f04eeab027,Airbnb,Airbnb,MATCHED,EXACT,1.0,True,Data Analytics,DATA_ANALYTICS,1999.0,"London, UK",19967.0,MEDIUM,False,,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,41daf0e7f674f6cc4f0f4ffd0858b48efc9cf90707b30d3e9cdd3431b060acfe
ea56a6ce-74c8-5db9-a8e0-55f570076e47,Amazon Web Services,Amazon Web Services,MATCHED,EXACT,1.0,True,SaaS,SOFTWARE_SAAS,2015.0,"Berlin, Germany",27826.0,MEDIUM,False,,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,14665bd7327affa6a195a8b25eff7afcfb9a9b8f2be604a8ea8196260f158bfe
5449894a-8967-53fd-96aa-711e4f2caebf,Anthropic,Anthropic,MATCHED,EXACT,1.0,True,FinTech,FINTECH,2006.0,"San Francisco, CA",43747.0,LARGE,False,,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,7c7d54109f651cb3da738fbc91473299aa2db3638bc5cdb52e1ac1c578f6c472
dd92adee-a175-5086-8ee3-31cafbbd4d9a,Cloudflare,Cloudflare,MATCHED,EXACT,1.0,True,Cybersecurity,CYBERSECURITY,1998.0,"Austin, TX",4422.0,SMALL,False,CLOU,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,c6b3821e73b1767ba5f224fff00194418258e5c63873e80dddeb0d25334ed07d
9748d0cc-1284-54f9-afc0-d1692fe79ff8,Cohere,Cohere,UNRESOLVED,UNRESOLVED,0.5,False,,UNMAPPED,,,,UNKNOWN,,,tech_news.csv,57ec45a1-9a06-4385-9e42-2d255db54746,ef6cfde2d97ad7be008420ed71e73a23d9c1bf88f2fa5263985031aff2acfb73
1eabfb03-492b-52d1-9f8f-afbd3e484ada,Confluent,Confluent,MATCHED,EXACT,1.0,True,Cloud Computing,CLOUD,1995.0,"London, UK",3884.0,SMALL,False,,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,b845b6d0d29bbecad8c436ca8fbc792df3a9cd0cbbb3113b345f514a0706d281
9d4d58c5-91bd-5317-85a0-a0cd048740af,DataRobot,Data Robot,MATCHED,ALIAS,0.98,True,Cloud Computing,CLOUD,2012.0,"New York, NY",23471.0,MEDIUM,True,,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,48ec62299bcb4dc202a2f5d7e09913056527392cd91aaaab48c3c1d7cd8b75c8
30365688-fa79-5b90-b869-7fc216599069,Databricks,Databricks,MATCHED,EXACT,1.0,True,Data Analytics,DATA_ANALYTICS,2003.0,"Berlin, Germany",17962.0,MEDIUM,True,DATA,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,6bff33c5a6cfdaf026fbd316bc9f6810aa77b856cb59aff96738a21a2a549de1
245ee582-6dec-5cc1-a198-e4acaa865688,Elastic,Elastic,MATCHED,EXACT,1.0,True,Cybersecurity,CYBERSECURITY,2016.0,"San Francisco, CA",24508.0,MEDIUM,True,ELAS,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,f5b9a3b39141167b6b0d0ea9d889dd275bec68ee6a9b28e652906a3f1c4c201e
5c86f678-723f-56ff-bd4b-8440df5459ba,Google DeepMind,Google DeepMind,MATCHED,EXACT,1.0,True,Data Analytics,DATA_ANALYTICS,2017.0,"Austin, TX",24274.0,MEDIUM,False,,company_metadata.json,57ec45a1-9a06-4385-9e42-2d255db54746,73258eec369d427567f55cf8d8faf3fe46ec5ec7099ad2a072dd76b8494218b3
